data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
370071,434,LBY812,812,2012-03-01,2012,1,"Battle-No change of territory","Unidentified Armed Group (Libya)",,3,"Police Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,Darnah,Darnah,,Darna,32.767,22.6367,1,"BBC Monitoring Middle East",National,"A security official is shot and killed in ""ambiguous circumstances by an extremist Islamic group.""",1,1517243930
370072,434,LBY811,811,2012-02-24,2012,1,"Strategic development","Military Forces of Libya (2011-2012)",,1,,,0,10,"Northern Africa",Libya,"Al Kufrah","Al Kufrah",,"Al Kufrah",24.1667,23.2696,1,"Africa Research Bulletin",Regional,"Deployment:The Libyan military is deployed to Kufrah to attempt to quell ethnic violence in the region which had already claimed 63 lives.",0,1517243930
370073,434,LBY810,810,2012-02-23,2012,1,"Violence against civilians","Misratah Communal Militia (Libya)",,4,"Civilians (International)",,7,47,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Cape Times",Regional,"A Misratah militia based in Tripoli captures two British journalists and accuses them of being spies. In the following month they were turned over to legitimate military and then cleared of all charges.",0,1517243930
370074,434,LBY809,809,2012-02-21,2012,1,"Battle-No change of territory","Zwai Ethnic Militia (Libya)",,4,"Tabu Ethnic Militia (Libya)",,4,44,"Northern Africa",Libya,"Al Kufrah","Al Kufrah",,"Al Kufrah",24.1667,23.2696,1,"Agence France Presse",International,"Second day of renewed fighting among tribal groups, five dead, 30 injured. Nearly 100 killed since fighting erupted on February twelfth. Red Cross reports that 50 civilians have been inadvertently killed in the last 24 hours and half the population of 40,000 has been displaced.",5,1517243930
370075,434,LBY807,807,2012-02-20,2012,1,"Battle-No change of territory","Unidentified Armed Group (Libya)",,3,"Police Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,"BBC Monitoring Middle East",National,"Police arrest 12 members of an armed gang that had been terrorizing civilians in recent days.",0,1517243930
370076,434,LBY808,808,2012-02-20,2012,1,"Battle-No change of territory","Zwai Ethnic Militia (Libya)",,4,"Tabu Ethnic Militia (Libya)",,4,44,"Northern Africa",Libya,"Al Kufrah","Al Kufrah",,"Al Kufrah",24.1667,23.2696,1,"BBC Monitoring Middle East",National,"Fighting again erupts in Al Kufrah between ethnic groups, ten killed in two days.",5,1517243930
370077,434,LBY805,805,2012-02-15,2012,1,"Battle-No change of territory","Zwai Ethnic Militia (Libya)",,4,"Tabu Ethnic Militia (Libya)",,4,44,"Northern Africa",Libya,"Al Kufrah","Al Kufrah",,"Al Kufrah",24.1667,23.2696,1,"Agence France Presse",International,"Fighting among ethnic groups reignites, six dead.",6,1517243930
370078,434,LBY806,806,2012-02-15,2012,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"Windsor Star",International,"Protesters gather to make the first anniversary since the Gadaffi uprising.",0,1517243930
370079,434,LBY803,803,2012-02-12,2012,1,"Battle-No change of territory","Tabu Ethnic Militia (Libya)",,4,"Police Forces of Libya (2011-2012)",,1,14,"Northern Africa",Libya,"Al Kufrah","Al Kufrah",,"Al Kufrah",24.1667,23.2696,1,"BBC Monitoring Middle East",National,"Fighters from a Tabu militia attempt to overtake a police station, but are unsuccessful. The attempt come after a fight with an opposing group. Unknown number killed.",0,1517243930
370080,434,LBY804,804,2012-02-12,2012,1,"Battle-No change of territory","Zwai Ethnic Militia (Libya)",,4,"Tabu Ethnic Militia (Libya)",,4,44,"Northern Africa",Libya,"Al Kufrah","Al Kufrah",,"Al Kufrah",24.1667,23.2696,1,"BBC Monitoring Middle East",National,"Two ethnic group exchange gunfire in the center of the city after one accuses the other of supporting pro-Gaddafi mercenaries. Eleven killed, plus 29 injuries reported.",11,1517243930
370081,434,LBY802,802,2012-02-11,2012,1,Riots/Protests,"Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"Agence France Presse",International,"A pro-Islamist group on Saturday destroyed a memorial honoring the leader of pan-Arab nationalism, Egypts Gamal Abdel Nasser using hammers and axes.",0,1517243930
370082,434,LBY801,801,2012-02-08,2012,1,"Violence against civilians","Rioters (International)","Government of Turkey",5,"Civilians (International)","Civilians (Syria)",7,57,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"BBC Monitoring Newsfile",National,"Officials of the Turkish embassy attacked members of their Syrian counterpart while on the was the way to a Libyan government building for a meeting.",0,1517243930
370083,434,LBY799,799,2012-02-06,2012,1,"Violence against civilians","Unidentified Armed Group (Libya)",,3,"Civilians (Libya)",,7,37,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Reuters News",International,"A group of ethnic Tawargans, travelling from a refugee camp in a nearby suburb, were assaulted and killed as they headed to Martyrs Square to hold a demonstrator/protest. Five deaths reported.",5,1517243930
370084,434,LBY800,800,2012-02-06,2012,1,"Battle-No change of territory","Unidentified Armed Group (Libya)",,3,"Military Forces of Libya (2011-2012)",,1,13,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,"BBC Monitoring Newsfile",National,"An unidentified person opened fire on a headquarters of security forces, killing one.",1,1517243930
