id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,school_levels
389,0,0,0,0,pre,339,1,NA,2,1,1,2
3985,5,45,1,1,pre,74,0,NA,28,1,0,1
1322,0,0,0,0,pre,264,0,NA,14,1,1,2
4757,0,0,0,0,pre,33,0,NA,21,1,0,1
342,0,0,0,0,pre,99,0,NA,2,1,1,2
1366,0,0,0,0,pre,102,0,NA,17,1,1,2
2521,0,0,0,0,pre,114,0,NA,24,1,1,2
5192,0,0,0,0,pre,147,1,NA,26,1,1,2
859,93,728,1,1,pre,500,0,NA,3,1,1,2
4749,0,0,0,0,pre,129,0,NA,21,1,0,1
275,1,4,1,1,pre,201,0,NA,2,1,0,1
3297,0,0,0,0,pre,140,0,NA,30,1,1,2
3061,0,0,0,0,pre,55,0,NA,16,1,1,2
351,0,0,0,0,pre,79,1,NA,2,1,1,2
3225,5,45,1,1,pre,115,0,NA,28,1,1,2
616,2,10,1,1,pre,120,0,NA,13,1,1,2
2192,0,0,0,0,pre,120,0,NA,24,1,1,2
1442,0,0,0,0,pre,142,1,NA,17,1,1,2
4485,0,0,0,0,pre,143,0,NA,29,1,1,2
1363,0,0,0,0,pre,153,0,NA,17,1,1,2
2030,0,0,0,0,pre,155,1,Armed Groups,19,1,1,2
1392,0,0,0,0,pre,155,0,NA,17,1,1,2
3230,5,45,1,1,pre,161,0,NA,28,1,1,2
4470,0,0,0,0,pre,262,0,NA,29,1,1,2
3337,30,133,1,1,pre,278,0,Armed Groups,30,1,1,2
3383,0,0,0,0,pre,313,1,NA,30,1,1,2
1024,0,0,0,0,pre,344,0,NA,3,1,1,2
1449,0,0,0,0,pre,355,1,NA,17,1,1,2
1826,0,0,0,0,pre,427,0,NA,19,1,1,2
862,0,0,0,0,pre,715,1,Armed Groups,3,1,1,2
601,0,0,0,0,pre,28,0,NA,13,1,0,1
3289,1,0,0,1,pre,59,0,NA,31,1,0,1
3294,0,0,0,0,pre,74,0,NA,31,1,0,1
1200,1,0,0,1,pre,80,0,NA,15,1,0,1
3024,0,0,0,0,pre,85,0,NA,16,1,0,1
5168,0,0,0,0,pre,131,1,NA,26,1,0,1
4476,0,0,0,0,pre,140,0,NA,29,1,0,1
4903,0,0,0,0,pre,160,0,NA,21,1,0,1
3049,0,0,0,0,pre,397,0,NA,16,1,0,1
4181,0,0,0,0,pre,17,0,NA,25,1,1,2
3029,1,0,0,1,pre,27,0,NA,16,1,1,2
1950,0,0,0,0,pre,39,0,NA,19,1,1,2
