id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,school_levels
389,0,0,0,0,pre,153,1,NA,2,1,1,2
1322,0,0,0,0,pre,138,0,NA,14,1,1,2
342,0,0,0,0,pre,49,0,NA,2,1,1,2
1366,0,0,0,0,pre,52,0,NA,17,1,1,2
5192,11,27,1,1,pre,55,1,NA,26,1,1,2
859,93,728,1,1,pre,300,0,NA,3,1,1,2
275,7,4,1,1,pre,101,0,NA,2,1,0,1
3297,0,0,0,0,pre,70,0,NA,30,1,1,2
3061,0,0,0,0,pre,20,0,NA,16,1,1,2
351,0,0,0,0,pre,46,1,NA,2,1,1,2
3225,5,45,1,1,pre,55,0,NA,28,1,1,2
616,2,10,1,1,pre,52,0,NA,13,1,1,2
2192,0,0,0,0,pre,50,0,NA,24,1,1,2
1442,0,0,0,0,pre,59,1,NA,17,1,1,2
4485,0,0,0,0,pre,72,0,NA,29,1,1,2
1363,0,0,0,0,pre,77,0,NA,17,1,1,2
1392,0,0,0,0,pre,80,0,NA,17,1,1,2
3230,5,45,1,1,pre,27,0,NA,28,1,1,2
4470,0,0,0,0,pre,164,0,NA,29,1,1,2
3337,30,133,1,1,pre,79,0,Armed Groups,30,1,1,2
3383,0,0,0,0,pre,184,1,NA,30,1,1,2
1024,0,0,0,0,pre,173,0,NA,3,1,1,2
1449,0,0,0,0,pre,130,1,NA,17,1,1,2
1826,0,0,0,0,pre,220,0,NA,19,1,1,2
862,93,728,1,1,pre,360,1,Armed Groups,3,1,1,2
3289,1,0,0,1,pre,39,0,NA,31,1,0,1
3294,0,0,0,0,pre,32,0,NA,31,1,0,1
1200,1,0,0,1,pre,80,0,NA,15,1,0,1
5168,0,0,0,0,pre,65,1,NA,26,1,0,1
4476,0,0,0,0,pre,78,0,NA,29,1,0,1
3049,0,0,0,0,pre,173,0,NA,16,1,0,1
4181,0,0,0,0,pre,12,0,NA,25,1,1,2
3029,1,0,0,1,pre,12,0,NA,16,1,1,2
4160,0,0,0,0,pre,25,0,NA,25,1,1,2
4159,0,0,0,0,pre,23,0,NA,25,1,1,2
1223,0,0,0,0,pre,68,0,NA,15,1,1,2
425,16,54,1,1,pre,25,1,Armed Groups,2,1,1,2
2597,2,0,0,1,pre,39,0,NA,24,1,1,2
4430,0,0,0,0,pre,60,0,NA,1,1,1,2
258,3,4,1,1,pre,56,0,NA,2,1,1,2
2894,1,0,0,1,pre,70,1,NA,31,1,1,2
5055,0,0,0,0,pre,71,1,NA,3,1,1,2
3353,42,434,1,1,pre,45,0,NA,1,1,1,2
2176,3,3,1,1,pre,67,1,Armed Groups,19,1,1,2
2261,0,0,0,0,pre,66,1,NA,24,1,1,2
4119,0,0,0,0,pre,75,0,NA,25,1,1,2
422,12,54,1,1,pre,98,1,NA,19,1,1,2
832,93,728,1,1,pre,264,1,NA,3,1,1,2
280,1,0,0,1,pre,324,1,NA,2,1,1,2
1645,36,236,1,1,pre,309,0,NA,16,1,1,2
5081,0,0,0,0,pre,400,0,NA,1,1,1,2
4127,0,0,0,0,pre,3,0,NA,25,1,0,1
883,0,0,0,0,pre,27,0,NA,3,1,0,1
3273,2,0,0,1,pre,52,0,NA,31,1,0,1
3256,0,0,0,0,pre,52,0,NA,31,1,0,1
865,93,728,1,1,pre,125,0,NA,3,1,0,1
324,162,2539,1,1,pre,29,1,NA,2,1,1,2
1204,2,0,0,1,pre,36,1,NA,15,1,1,2
2602,2,0,0,1,pre,23,0,NA,24,1,1,2
1857,0,0,0,0,pre,60,0,NA,19,1,1,2
1394,0,0,0,0,pre,38,0,NA,17,1,1,2
3066,0,0,0,0,pre,80,0,NA,16,1,1,2
430,0,0,0,0,pre,87,0,NA,2,1,1,2
2046,0,0,0,0,pre,103,1,NA,19,1,1,2
3321,30,133,1,1,pre,115,0,NA,30,1,1,2
898,93,728,1,1,pre,29,1,NA,3,1,1,2
3299,30,133,1,1,pre,200,1,Armed Groups,30,1,0,1
622,2,10,1,1,pre,35,0,NA,13,1,0,1
2484,0,0,0,0,pre,72,0,NA,24,1,0,1
2002,0,0,0,0,pre,100,1,NA,19,1,0,1
4687,44,1218,1,1,pre,114,0,NA,22,1,0,1
3606,42,434,1,1,pre,110,0,NA,1,1,0,1
1853,0,0,0,0,pre,18,0,NA,19,1,1,2
4094,0,0,0,0,pre,21,0,NA,25,1,1,2
4162,0,0,0,0,pre,17,0,NA,25,1,1,2
565,34,155,1,1,pre,21,1,NA,13,1,1,2
2009,0,0,0,0,pre,25,0,NA,19,1,1,2
2165,0,0,0,0,pre,27,0,Armed Groups,19,1,1,2
3271,0,0,0,0,pre,41,1,NA,31,1,1,2
730,0,0,0,0,pre,52,0,NA,13,1,1,2
4935,1,0,0,1,pre,59,1,NA,23,1,1,2
1869,0,0,0,0,pre,65,0,NA,19,1,1,2
2492,0,0,0,0,pre,68,0,NA,24,1,1,2
3558,0,0,0,0,pre,59,0,NA,1,1,1,2
1458,36,236,1,1,pre,85,0,NA,16,1,1,2
2897,1,0,0,1,pre,93,0,NA,31,1,1,2
3626,0,0,0,0,pre,65,0,NA,1,1,1,2
4651,44,1218,1,1,pre,112,1,NA,22,1,1,2
4752,44,1218,1,1,pre,77,1,NA,22,1,1,2
4630,44,1218,1,1,pre,207,1,NA,22,1,1,2
2270,0,0,0,0,pre,209,1,Armed Groups,24,1,1,2
5060,162,2539,1,1,pre,173,0,NA,16,1,1,2
3393,30,133,1,1,pre,190,1,Armed Groups,30,1,1,2
4665,0,0,0,0,pre,33,1,NA,22,1,0,1
646,4,4,1,1,pre,46,0,NA,2,1,0,1
3798,1,0,0,1,pre,44,0,NA,20,1,0,1
4940,1,0,0,1,pre,53,1,NA,23,1,0,1
618,2,10,1,1,pre,69,0,NA,13,1,0,1
327,0,0,0,0,pre,72,0,NA,2,1,0,1
3275,1,0,0,1,pre,109,1,NA,31,1,0,1
3335,30,133,1,1,pre,106,0,NA,30,1,0,1
869,0,0,0,0,pre,256,0,NA,3,1,0,1
2143,2,12,1,1,pre,29,0,NA,19,1,1,2
1955,0,0,0,0,pre,33,0,NA,19,1,1,2
2105,0,0,0,0,pre,23,0,NA,19,1,1,2
2259,0,0,0,0,pre,31,0,NA,24,1,1,2
610,2,10,1,1,pre,34,0,NA,13,1,1,2
1330,0,0,0,0,pre,39,0,NA,14,1,1,2
697,2,10,1,1,pre,37,0,NA,13,1,1,2
2291,0,0,0,0,pre,62,0,NA,24,1,1,2
1203,2,0,0,1,pre,112,1,NA,15,1,1,2
2621,2,0,0,1,pre,61,0,NA,24,1,1,2
482,0,0,0,0,pre,63,0,NA,13,1,1,2
1977,5,3,1,1,pre,91,1,NA,19,1,1,2
4205,0,0,0,0,pre,72,1,NA,28,1,1,2
2494,0,0,0,0,pre,56,0,NA,24,1,1,2
1695,0,0,0,0,pre,70,0,NA,16,1,1,2
2456,0,0,0,0,pre,88,0,NA,24,1,1,2
693,0,0,0,0,pre,81,1,NA,13,1,1,2
1997,4,12,1,1,pre,81,0,NA,19,1,1,2
2297,0,0,0,0,pre,44,0,Armed Groups,24,1,1,2
336,4,0,0,1,pre,98,1,NA,2,1,1,2
2943,0,0,0,0,pre,92,0,NA,31,1,1,2
2082,3,3,1,1,pre,97,0,NA,19,1,1,2
4871,0,0,0,0,pre,93,0,NA,21,1,1,2
2189,0,0,0,0,pre,99,0,NA,24,1,1,2
2268,0,0,0,0,pre,95,0,NA,24,1,1,2
1949,0,0,0,0,pre,96,1,NA,19,1,1,2
1476,0,0,0,0,pre,124,0,NA,16,1,1,2
442,34,155,1,1,pre,220,0,NA,13,1,1,2
2278,0,0,0,0,pre,123,0,NA,24,1,1,2
1251,9,13,1,1,pre,203,1,NA,15,1,1,2
2017,0,0,0,0,pre,156,0,NA,19,1,1,2
